id,framework_name
1,linux
2,bash
3,docker
4,python
5,js
6,sql
7,fastapi
8,django
9,flask
10,javascript
11,css
12,html
13,api
14,selenium
15,aws
16,rest
17,postgresql
18,algorithms
19,git
20,jira
21,networking
22,macos
23,windows
24,sass
25,ansible
26,pytest
27,nosql
28,terraform
29,oop
30,asyncio
31,devops
32,fullstack
33,mongodb
34,pandas
35,beautifulsoup
36,redis
37,sqlalchemy
38,json
39,laravel
40,orm
41,elasticsearch
42,graphql
43,numpy
44,ux
45,ai
46,microsoft
47,react
48,drf
49,pytorch
50,tensorflow
51,keras
52,microservice
53,hbase
54,nifi
55,siem
56,edr
57,scraper
